"How, if in any way, this course helped you prepare for school opening after COVID-19?",The independent online work activities were well-designed to help me meet the learning targets.,The Zoom meeting activities were well-designed to help me meet the learning targets.,I felt a sense of community with the other participants in this course even though we were meeting virtually.,This course helped me navigate remote and/or hybrid learning during COVID-19.
I don't want to overwhelm the students.,Strongly agree,Agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Strongly agree,Agree
This has helped me understand and see the supports given to me in guidebooks.,Strongly agree,Agree,Strongly agree,Strongly agree
Helped with planning,Strongly agree,Agree,Strongly agree,Strongly agree
helped with tallying writing responses,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This had some very good strategies for writing.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Small groups seem impossible is we have to do virtual school,Strongly agree,Agree,Strongly agree,Strongly agree
Preparation and organization,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Great resources added to my toolbox,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I'm familiarizing myself with my curriculum,Agree,Strongly agree,Agree,Agree
Use with Resource students,Strongly agree,Agree,Strongly agree,Strongly agree
learning how to function virtually.,Strongly agree,Agree,Strongly agree,Strongly agree
n/a,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
I feel that it did a great job preparing me for school when it reopens. However I would like further support in how to teach this curriculum over an online platform.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Help me have a plan for EL Modules,Strongly agree,Agree,Agree,Agree
Goals of the EL curriculum are high quality,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
Start thinking of structures that need to be in place when school opens. Structures that are transferable to remote learning.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I feel like I can adequately unpack and prepare the curriculum. Still working on how to deliver it virtually.,Strongly agree,Strongly agree,Strongly agree,Agree
I know other 2nd grade teachers i can share Ideas with now.,Agree,Agree,Agree,Strongly agree
This course helped me plan for the EL implementation and the importance of fidelity to the materials.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
designing a balanced curriculum,Agree,Strongly agree,Strongly agree,Strongly agree
"resources, materials were shared",Strongly agree,Strongly agree,Strongly agree,Strongly agree
We were offered materials that we can use to offer the instruction online (Learn Zillion),Strongly agree,Strongly agree,Strongly agree,Strongly agree
"It has helped me look at the standards, assessments and strategies to use throughout the year.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
I have a clear idea of how to begin the school year with the EL Modules.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Planning for the first unit,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helped us network with people in our district so that we can share resources and collaborate.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
resources to access EL was shared,Strongly agree,Strongly agree,Strongly agree,Agree
I don't know what it will look like,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Help me gain a strong understanding of the new curriculum I will be teaching this year so I can begin to plan for how I can teach that material virtually,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It did not.,Agree,Disagree,Agree,Neither agree nor disagree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Thinking about creative ways to engage students,Neither agree nor disagree,Agree,Agree,Agree
"It let me know about openup resources, it showed me examples of using zoom effectively (breakout groups, etc.), and got me in contact with other teachers to make a shared drive.",Strongly agree,Agree,Agree,Strongly agree
It allowed me to have a greater understanding of the content so that I can feel confident in implementing it,Agree,Agree,Agree,Neither agree nor disagree
N/A,Agree,Strongly agree,Strongly agree,Strongly agree
"It helps to have a more nuanced, in depth understanding of the curriculum so that I am better able to make the appropriate accommodations for remote learning.",Agree,Strongly agree,Strongly agree,Agree
Offered another course to help with distance learning.,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
n/a,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I have a greater understanding of the EL curriculum,Agree,Agree,Agree,Agree
"First of all, I would like to commend Tara and Kristen for a job well done. The course is very helpful because it has given me a clear view of 6th grade curriculum (I serve K-8 students as RSP teacher); I gained more ways on how to improve my classroom/virtual classroom as a whole and I found another professional learning community that I could celebrate and tap.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
Implementing the new curriculum - since I had 0 understanding before.,Strongly agree,Agree,Agree,Strongly agree
I have more tools to use when thinking about th eupcoming year and for planning it.,Strongly agree,Agree,Agree,Neither agree nor disagree
"I was able to form relationships with colleagues across the district, and we will be able to plan together in the fall.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
Some of the techniques in the Zoom meetings helped me see how to host a Zoom class meetings could run more smoothly.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
We discussed ways to implement Anchor charts through Google docs and group discussions through Zoom breakout rooms.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Heard about zillion,Agree,Strongly agree,Strongly agree,Agree
It reminded me that my teaching was a good career choice.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
They recommended another course.,Strongly agree,Strongly agree,Strongly agree,Agree
"The use of Universal Design in teaching and learning, the equal opportunity for the students and how I may be able to collaborate with the general education teachers to support our students with special needs.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
I am more familiar with the curriculum. I feel more confident and knowing what to teach and the best way to implement the information.,Agree,Disagree,Agree,Agree
"I learned the basic structure of the curriculum and how to use it, but not how to adapt it to a virtual world.",Strongly agree,Agree,Agree,Strongly agree
Learning targets and understanding the shifts and the context,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I wish there was more focus on how to prepare for school opening in the Fall. There was some mention, but I still felt like we could've dedicated a whole session or half a session to resources/ what structures and protocols we can use for online learning.",Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
"Discussions with other teachers, Justin's ideas, collaboration.",Strongly agree,Agree,Strongly agree,Strongly agree
I am familiar with the curriculum that I had never heard about until a month ago.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
"The intro to the new EL was tremendously helpful in preparing me to implement the curriculum in any setting (in school, virtual, hybrid)",Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I am much more confident in how the curriculum works and was able to gather a lot of online resources that will help, if we continue with virtual learning!",Strongly agree,Strongly agree,Strongly agree,Strongly agree
"Understanding a new curriculum, discussing ways to teach it virtually",Strongly agree,Agree,Neither agree nor disagree,Strongly agree
"This course has helped me put together a plan for this upcoming school year, in terms of how to go about planning. I am excited but also nervous moving forward.",Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
