date_for_the_session,professional_training_session,select_your_site_district_parish_or_network,select_the_best_description_for_your_role,select_the_grade_band_s_you_focused_on,learning_session_satisfaction,todays_topic_was_relevant_for_my_role,designed_to_help_me_learn,learning_to_try_out,likely_to_apply_46_weeks,select_the_name_of_your_first_facilitator,s_he_facilitated_the_content_clearly_12,s_he_effectively_built_a_community_of_learners_13,did_you_have_a_second_facilitator,select_the_name_of_your_second_facilitator,s_he_facilitated_the_content_clearly_16,s_he_effectively_built_a_community_of_learners_17,overall_what_went_well_in_this_professional_learning,which_activities_best_supported_your_learning,what_could_have_improved_your_experience,likely_to_recommend_colleague_friend,why_did_you_choose_this_rating,do_you_have_additional_comments
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,New tools.,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,8,I am at this level now will probably go higher after tomorrow.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,"Access to curriculum, what makes this a good curriculum",NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,8,It gave a great framework into why this curriculum gives us the essentials,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,activity re: shifts,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,8,They are knowledgeable and approachable,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,I will be taking back the shifts in instruction. This isn't something I had purposely thought about in the past.,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,8,"I need to have more experience before I make a recommendation, although today everything was good.",NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,"The need to find schools that have implemented this curriculum with integrity, getting to schools to visit and see the work in practice as well as video taping",NA,Octavia,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,8,"Surface knowledge provided but helpful based on where I was entering, knowledge-wise",NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,Taking back how to align the shifts of implementation with using a curriculum like EL to enhance learning for all students using text that are above or beyond grade level.,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,District to help facilitate EL and the demands of teaching,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,It works! It can be done! Cross curricular!,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,I found it very informative and geared to all the things I wanted to know about the curriculum.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,"I gained an appreciation for the supports that are in place in my district, so I am taking that gratitude back with me.",NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,I think that the knowledge of the presenters is very valuable,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,the shifts a clear understanding,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,professionalism and content,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,My deeper understanding of the curriculum shifts.,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,This has been one of the most valuable professional development sessions I have attended in a long time.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,new links to follow that correlate to the EL curriculum,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,"This was a great PD and I am looking forward to our meetings later on in the year. The facilitators were clear, concise, and great at getting across the topics covered in the PD",NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,examples of successes and struggles with implementation of the curriculum (but the commitment to DO IT),NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,That the EL Curriculum is totally awesome!,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,Best PD I have received in decades!,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,Online materials,NA,Octavia,Agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,Renewed importance of the benefits of using a curriculum that is designed to meet the instructional shifts in literacy.,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,8,We haven't completed all of the sessions yet,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,"Ways to access additional materials, reasoning behind the shifts",NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,8,The information that was delivered was clear,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,To not worry so much about teaching the curriculum with fidelity but rather skillfully and with integrity.,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,I thought the training was informative with excellent information presented. I also like how real the instructor was and validated experiences we have had.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,"A better understanding of the main principles of the shifts - complexity, evidence and knowledge",NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,9,It was very informative and reassuring!,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,"Feeling like we are in a good place, and very committed to continuing the work and structures we have put in place.",NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,8,Good overview of the ELA shifts and the curriculum.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,The urgency of this work. This curriculum does work. The connection to the shifts.,NA,Octavia,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,8,This was a good use of time. The presenter had a good pace. I like being about to connect with other educators.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,access to resources,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,connections with other EL educators and administrators who can help connect us to the curriculum,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,10,It was well organized and helpful,NA
2020-03-10,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Using Protocol and  TPT,Strongly agree,Octavia,Strongly agree,Strongly agree,No,NA,NA,NA,All aspect,Planning using protocol,Nothing,10,Very effective,None
2020-03-10,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Protocols,Strongly agree,Octavia,Strongly agree,Strongly agree,No,NA,NA,NA,Unpacking lessons.,Having the resources.,"NA",10,Octavia did a great job giving us all the information.,NA
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,features of text complexity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,RTTW framework,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,Learning how EL curriculum is designed to support student learning,T & T,N/A,10,Exceptional informative,No
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,"Structure of the curriculum 
 Learning about the 4T’s",Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,"Presentation
 Videos
 Reading/discussion",Discussion,More visuals through videos,9,"I like the lay out of Modules and Units also the trade books for students
 The 4 T ‘s Frcanewotk",NA
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,Using complex text for below reader,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,Organized presentation of ideas,Hands on,More videos,10,Presenter organized,Need hands on layout of a lesson generally
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,RTTW cycle,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,Being introduced to what the el curriculum is about and how it works,Hearing the others ideas about what each thing means to them,More videos,10,Bc I haven’t seen any of this before and now I have an idea of what to do.,NA
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Read think talk write cycle,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,Everything,Everything,Seeing EL in action,9,Helpful and relevant,NA
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),School-based coach,NA,Strongly agree,Strongly agree,Strongly agree,Rttw support for my teachers,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,Everything,Learning whats in the ALL block and watching the videos,Nothing,10,Great interactive pd.,NA
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),Teacher or specialist,NA,Strongly agree,Strongly agree,Agree,4 ts,Strongly agree,Auddie,Strongly agree,Agree,NA,NA,NA,NA,Content,Hands on,More videos,10,Great curriculum to enhance teacher practice,Auddie very knowledgeable
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),School-based coach,NA,Strongly agree,Strongly agree,Strongly agree,Knowing how to navigate the modules in a way to effectively plan for students,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,Knowledge shared and opportunity to discuss with peers,Watching the videos,More opportunities to navigate the modules and lessons,10,Very helpful support,NA
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,All of it!,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,Understanding the EL curriculum more.,The video about how the students in Chicago were able to make a change in their community.,A few short breaks in between.,9,It was very informative.,NA
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,RTTW,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,It was engaging as well as a great learning environment.,"Diving into the RTTW, as well as the 4T’s",Clarification on how to support low level students with complex text.,9,"The learning was worth it, and will be beneficial to my teaching.",NA
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,RTTW,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,Looking into our curriculum,Going through the first module as a grade,More work with the actual implementation of lessons,8,For reasons I’ve states through this survey,NA
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,RTTW,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,"Understanding the 4Ts, the RTTW and the shifts.",The videos,See lessons and modify them to fit in a time frame of 50-60 mins.,9,Whenever you begin working with a new curriculum it is beneficial to have formal training.,No
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,The 4 Ts,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,"Answered all questions, very informative rmstive","The binders with information, talking and discussing what we read",N/a,10,"Instructor was wonderful, information was easy to understand",NA
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,RTTW,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,All of it,Participant notebook,Nothing,8,Helpful in implementing and understanding expeditionary learning,NA
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,RTTW cycle,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,Auddie answered any questions the group had,Jig saw,Discussing SWD,10,The information learned was beneficial,NA
2019-08-28,"EL K-5 Bootcamp, Day 1: Robin Hood",Robinhood Schools (NYC),School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,All of it,Strongly agree,Auddie,Strongly agree,Strongly agree,NA,NA,NA,NA,Reading,Jigsaw,Nothing,10,Feel prepared,NA
2019-08-27,"EL K-5 BootCamp, Day 2",Baychester Academy,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Trying out the EL curriculum and practicing the 4 Ts.,Strongly agree,Octavia,Strongly agree,Strongly agree,NA,Brad,Strongly agree,Strongly agree,the entire presentation,The 4 ts,None,10,It was an amazing experience,no
2019-08-27,"EL K-5 BootCamp, Day 2",Baychester Academy,Teacher or specialist,NA,Agree,Agree,Agree,RTTW,Strongly agree,Octavia,Agree,Strongly agree,NA,Brad,Agree,Agree,Looking through the teacher guides and student materials.,Utilizing the module lesson resources,Watching an actual lesson being taught.,9,Very professional and helpful.,NA
